phase,domain,family,library_class,condition,bug_id,detected,parsed
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B13,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B14,0,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B14,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B15,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B15,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B16,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B16,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B17,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B17,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B18,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B18,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B19,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B19,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B20,0,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B20,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B21,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B21,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B22,0,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B22,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B23,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B23,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B24,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B24,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B25,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B25,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B26,0,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B26,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B27,0,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B27,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B28,0,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B28,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B29,1,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B29,0,1
P9_stdlib,urllib_dom,codex,stdlib,cold,P9u_B30,0,1
P9_stdlib,urllib_dom,codex,stdlib,mismatched,P9u_B30,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B01,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B01,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B02,0,0
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B02,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B03,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B03,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B04,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B04,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B05,0,0
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B05,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B06,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B06,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B07,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B07,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B08,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B08,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B09,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B09,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B10,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B10,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B11,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B11,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B12,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B12,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B13,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B13,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B14,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B14,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B15,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B15,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B16,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B16,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B17,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B17,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B18,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B18,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B19,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B19,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B20,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B20,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B21,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B21,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B22,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B22,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B23,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B23,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B24,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B24,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B25,0,0
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B25,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B26,0,0
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B26,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B27,1,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B27,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B28,0,0
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B28,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B29,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B29,0,1
P9_stdlib,jsondec_dom,codex,stdlib,cold,P9j_B30,0,1
P9_stdlib,jsondec_dom,codex,stdlib,mismatched,P9j_B30,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B01,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B01,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B02,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B02,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B03,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B03,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B04,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B04,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B05,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B05,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B06,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B06,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B07,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B07,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B08,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B08,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B09,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B09,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B10,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B10,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B11,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B11,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B12,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B12,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B13,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B13,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B14,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B14,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B15,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B15,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B16,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B16,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B17,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B17,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B18,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B18,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B19,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B19,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B20,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B20,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B21,1,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B21,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B22,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B22,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B23,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B23,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B24,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B24,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,cold,P9c_B25,0,1
P9_csv_cross_family,csv_dom,opus,stdlib,mismatched,P9c_B25,0,1
